"","date","daily_vaccines"
"64","2024-10-02","[[0.003526, 0.003526],[0.003386, 0.003386],[0.002297, 0.002297],[0.003448, 0.003448],[0.003596, 0.003596]]"
"65","2024-10-03","[[0.003555, 0.003555],[0.003411, 0.003411],[0.002323, 0.002323],[0.003514, 0.003514],[0.003643, 0.003643]]"
"66","2024-10-04","[[0.003583, 0.003583],[0.003435, 0.003435],[0.002348, 0.002348],[0.003577, 0.003577],[0.00369, 0.00369]]"
"67","2024-10-05","[[0.00361, 0.00361],[0.003457, 0.003457],[0.002371, 0.002371],[0.003637, 0.003637],[0.003735, 0.003735]]"
"68","2024-10-06","[[0.003636, 0.003636],[0.003479, 0.003479],[0.002393, 0.002393],[0.003694, 0.003694],[0.00378, 0.00378]]"
"69","2024-10-07","[[0.00366, 0.00366],[0.003498, 0.003498],[0.002414, 0.002414],[0.003747, 0.003747],[0.003824, 0.003824]]"
"70","2024-10-08","[[0.003684, 0.003684],[0.003517, 0.003517],[0.002433, 0.002433],[0.003798, 0.003798],[0.003868, 0.003868]]"
"71","2024-10-09","[[0.003706, 0.003706],[0.003534, 0.003534],[0.002451, 0.002451],[0.003844, 0.003844],[0.00391, 0.00391]]"
"72","2024-10-10","[[0.003727, 0.003727],[0.003549, 0.003549],[0.002467, 0.002467],[0.003887, 0.003887],[0.003952, 0.003952]]"
"73","2024-10-11","[[0.003747, 0.003747],[0.003563, 0.003563],[0.002482, 0.002482],[0.003925, 0.003925],[0.003992, 0.003992]]"
"74","2024-10-12","[[0.003766, 0.003766],[0.003575, 0.003575],[0.002496, 0.002496],[0.003959, 0.003959],[0.004032, 0.004032]]"
"75","2024-10-13","[[0.003783, 0.003783],[0.003586, 0.003586],[0.002508, 0.002508],[0.003989, 0.003989],[0.00407, 0.00407]]"
"76","2024-10-14","[[0.003799, 0.003799],[0.003595, 0.003595],[0.002518, 0.002518],[0.004014, 0.004014],[0.004108, 0.004108]]"
"77","2024-10-15","[[0.003814, 0.003814],[0.003602, 0.003602],[0.002526, 0.002526],[0.004035, 0.004035],[0.004144, 0.004144]]"
"78","2024-10-16","[[0.003827, 0.003827],[0.003608, 0.003608],[0.002533, 0.002533],[0.00405, 0.00405],[0.004179, 0.004179]]"
"79","2024-10-17","[[0.003838, 0.003838],[0.003613, 0.003613],[0.002538, 0.002538],[0.004061, 0.004061],[0.004212, 0.004212]]"
"80","2024-10-18","[[0.003849, 0.003849],[0.003615, 0.003615],[0.002542, 0.002542],[0.004066, 0.004066],[0.004245, 0.004245]]"
"81","2024-10-19","[[0.003858, 0.003858],[0.003616, 0.003616],[0.002544, 0.002544],[0.004067, 0.004067],[0.004276, 0.004276]]"
"82","2024-10-20","[[0.003865, 0.003865],[0.003615, 0.003615],[0.002544, 0.002544],[0.004063, 0.004063],[0.004305, 0.004305]]"
"83","2024-10-21","[[0.003871, 0.003871],[0.003613, 0.003613],[0.002542, 0.002542],[0.004053, 0.004053],[0.004333, 0.004333]]"
"84","2024-10-22","[[0.003876, 0.003876],[0.003609, 0.003609],[0.002539, 0.002539],[0.004039, 0.004039],[0.00436, 0.00436]]"
"85","2024-10-23","[[0.003879, 0.003879],[0.003603, 0.003603],[0.002534, 0.002534],[0.00402, 0.00402],[0.004385, 0.004385]]"
"86","2024-10-24","[[0.003881, 0.003881],[0.003596, 0.003596],[0.002527, 0.002527],[0.003996, 0.003996],[0.004409, 0.004409]]"
"87","2024-10-25","[[0.003881, 0.003881],[0.003587, 0.003587],[0.002519, 0.002519],[0.003968, 0.003968],[0.00443, 0.00443]]"
"88","2024-10-26","[[0.00388, 0.00388],[0.003576, 0.003576],[0.002509, 0.002509],[0.003935, 0.003935],[0.004451, 0.004451]]"
"89","2024-10-27","[[0.003877, 0.003877],[0.003564, 0.003564],[0.002498, 0.002498],[0.003898, 0.003898],[0.004469, 0.004469]]"
"90","2024-10-28","[[0.003873, 0.003873],[0.003551, 0.003551],[0.002484, 0.002484],[0.003856, 0.003856],[0.004486, 0.004486]]"
"91","2024-10-29","[[0.003867, 0.003867],[0.003536, 0.003536],[0.00247, 0.00247],[0.003811, 0.003811],[0.004501, 0.004501]]"
"92","2024-10-30","[[0.00386, 0.00386],[0.003519, 0.003519],[0.002453, 0.002453],[0.003762, 0.003762],[0.004514, 0.004514]]"
"93","2024-10-31","[[0.003851, 0.003851],[0.003501, 0.003501],[0.002436, 0.002436],[0.003709, 0.003709],[0.004526, 0.004526]]"
"94","2024-11-01","[[0.003841, 0.003841],[0.003481, 0.003481],[0.002417, 0.002417],[0.003653, 0.003653],[0.004535, 0.004535]]"
"95","2024-11-02","[[0.003829, 0.003829],[0.00346, 0.00346],[0.002396, 0.002396],[0.003593, 0.003593],[0.004543, 0.004543]]"
"96","2024-11-03","[[0.003817, 0.003817],[0.003438, 0.003438],[0.002374, 0.002374],[0.003531, 0.003531],[0.004549, 0.004549]]"
"97","2024-11-04","[[0.003802, 0.003802],[0.003414, 0.003414],[0.002351, 0.002351],[0.003466, 0.003466],[0.004553, 0.004553]]"
"98","2024-11-05","[[0.003787, 0.003787],[0.003389, 0.003389],[0.002327, 0.002327],[0.003399, 0.003399],[0.004556, 0.004556]]"
"99","2024-11-06","[[0.00377, 0.00377],[0.003362, 0.003362],[0.002301, 0.002301],[0.00333, 0.00333],[0.004556, 0.004556]]"
"100","2024-11-07","[[0.003751, 0.003751],[0.003335, 0.003335],[0.002275, 0.002275],[0.003259, 0.003259],[0.004555, 0.004555]]"
"101","2024-11-08","[[0.003732, 0.003732],[0.003306, 0.003306],[0.002247, 0.002247],[0.003186, 0.003186],[0.004551, 0.004551]]"
"102","2024-11-09","[[0.003711, 0.003711],[0.003276, 0.003276],[0.002218, 0.002218],[0.003112, 0.003112],[0.004546, 0.004546]]"
"103","2024-11-10","[[0.003689, 0.003689],[0.003245, 0.003245],[0.002189, 0.002189],[0.003037, 0.003037],[0.004539, 0.004539]]"
"104","2024-11-11","[[0.003666, 0.003666],[0.003214, 0.003214],[0.002158, 0.002158],[0.002961, 0.002961],[0.004531, 0.004531]]"
