"","date","daily_vaccines"
"69","2023-10-07","[[0.00611, 0.00611],[0.004847, 0.004847],[0.002077, 0.002077],[0.005391, 0.005391],[0.008027, 0.008027]]"
"70","2023-10-08","[[0.006167, 0.006167],[0.004875, 0.004875],[0.002103, 0.002103],[0.005505, 0.005505],[0.008173, 0.008173]]"
"71","2023-10-09","[[0.006222, 0.006222],[0.004902, 0.004902],[0.002128, 0.002128],[0.005614, 0.005614],[0.008315, 0.008315]]"
"72","2023-10-10","[[0.006274, 0.006274],[0.004926, 0.004926],[0.002153, 0.002153],[0.005717, 0.005717],[0.008451, 0.008451]]"
"73","2023-10-11","[[0.006322, 0.006322],[0.004949, 0.004949],[0.002177, 0.002177],[0.005815, 0.005815],[0.008582, 0.008582]]"
"74","2023-10-12","[[0.006367, 0.006367],[0.004969, 0.004969],[0.002202, 0.002202],[0.005907, 0.005907],[0.008708, 0.008708]]"
"75","2023-10-13","[[0.006409, 0.006409],[0.004987, 0.004987],[0.002226, 0.002226],[0.005992, 0.005992],[0.008827, 0.008827]]"
"76","2023-10-14","[[0.006447, 0.006447],[0.005004, 0.005004],[0.00225, 0.00225],[0.006069, 0.006069],[0.00894, 0.00894]]"
"77","2023-10-15","[[0.006482, 0.006482],[0.005018, 0.005018],[0.002273, 0.002273],[0.00614, 0.00614],[0.009045, 0.009045]]"
"78","2023-10-16","[[0.006513, 0.006513],[0.00503, 0.00503],[0.002296, 0.002296],[0.006202, 0.006202],[0.009143, 0.009143]]"
"79","2023-10-17","[[0.006541, 0.006541],[0.005039, 0.005039],[0.002319, 0.002319],[0.006256, 0.006256],[0.009234, 0.009234]]"
"80","2023-10-18","[[0.006565, 0.006565],[0.005047, 0.005047],[0.002341, 0.002341],[0.006302, 0.006302],[0.009316, 0.009316]]"
"81","2023-10-19","[[0.006585, 0.006585],[0.005052, 0.005052],[0.002363, 0.002363],[0.006338, 0.006338],[0.00939, 0.00939]]"
"82","2023-10-20","[[0.006601, 0.006601],[0.005055, 0.005055],[0.002384, 0.002384],[0.006366, 0.006366],[0.009455, 0.009455]]"
"83","2023-10-21","[[0.006613, 0.006613],[0.005056, 0.005056],[0.002405, 0.002405],[0.006384, 0.006384],[0.009511, 0.009511]]"
"84","2023-10-22","[[0.006621, 0.006621],[0.005055, 0.005055],[0.002425, 0.002425],[0.006393, 0.006393],[0.009557, 0.009557]]"
"85","2023-10-23","[[0.006625, 0.006625],[0.005051, 0.005051],[0.002445, 0.002445],[0.006393, 0.006393],[0.009595, 0.009595]]"
"86","2023-10-24","[[0.006625, 0.006625],[0.005046, 0.005046],[0.002464, 0.002464],[0.006383, 0.006383],[0.009623, 0.009623]]"
"87","2023-10-25","[[0.006622, 0.006622],[0.005038, 0.005038],[0.002483, 0.002483],[0.006364, 0.006364],[0.009641, 0.009641]]"
"88","2023-10-26","[[0.006614, 0.006614],[0.005027, 0.005027],[0.002501, 0.002501],[0.006336, 0.006336],[0.00965, 0.00965]]"
"89","2023-10-27","[[0.006602, 0.006602],[0.005015, 0.005015],[0.002518, 0.002518],[0.006299, 0.006299],[0.009649, 0.009649]]"
"90","2023-10-28","[[0.006587, 0.006587],[0.005, 0.005],[0.002535, 0.002535],[0.006253, 0.006253],[0.009638, 0.009638]]"
"91","2023-10-29","[[0.006568, 0.006568],[0.004984, 0.004984],[0.002552, 0.002552],[0.006198, 0.006198],[0.009617, 0.009617]]"
"92","2023-10-30","[[0.006544, 0.006544],[0.004965, 0.004965],[0.002567, 0.002567],[0.006136, 0.006136],[0.009587, 0.009587]]"
"93","2023-10-31","[[0.006517, 0.006517],[0.004944, 0.004944],[0.002582, 0.002582],[0.006065, 0.006065],[0.009547, 0.009547]]"
"94","2023-11-01","[[0.006487, 0.006487],[0.004921, 0.004921],[0.002596, 0.002596],[0.005987, 0.005987],[0.009498, 0.009498]]"
"95","2023-11-02","[[0.006452, 0.006452],[0.004897, 0.004897],[0.002609, 0.002609],[0.005901, 0.005901],[0.00944, 0.00944]]"
"96","2023-11-03","[[0.006415, 0.006415],[0.00487, 0.00487],[0.002622, 0.002622],[0.005809, 0.005809],[0.009373, 0.009373]]"
"97","2023-11-04","[[0.006373, 0.006373],[0.004841, 0.004841],[0.002634, 0.002634],[0.005711, 0.005711],[0.009297, 0.009297]]"
"98","2023-11-05","[[0.006328, 0.006328],[0.004811, 0.004811],[0.002645, 0.002645],[0.005607, 0.005607],[0.009213, 0.009213]]"
"99","2023-11-06","[[0.00628, 0.00628],[0.004778, 0.004778],[0.002656, 0.002656],[0.005498, 0.005498],[0.00912, 0.00912]]"
"100","2023-11-07","[[0.006229, 0.006229],[0.004744, 0.004744],[0.002665, 0.002665],[0.005384, 0.005384],[0.00902, 0.00902]]"
"101","2023-11-08","[[0.006175, 0.006175],[0.004708, 0.004708],[0.002674, 0.002674],[0.005266, 0.005266],[0.008913, 0.008913]]"
"102","2023-11-09","[[0.006118, 0.006118],[0.004671, 0.004671],[0.002682, 0.002682],[0.005145, 0.005145],[0.008799, 0.008799]]"
"103","2023-11-10","[[0.006058, 0.006058],[0.004632, 0.004632],[0.002689, 0.002689],[0.00502, 0.00502],[0.008678, 0.008678]]"
"104","2023-11-11","[[0.005995, 0.005995],[0.004591, 0.004591],[0.002695, 0.002695],[0.004893, 0.004893],[0.008551, 0.008551]]"
