"","date","daily_vaccines"
"86","2024-10-24","[[0.004107, 0.004107],[0.003532, 0.003532],[0.002026, 0.002026],[0.004308, 0.004308],[0.003998, 0.003998]]"
"87","2024-10-25","[[0.004107, 0.004107],[0.003523, 0.003523],[0.00202, 0.00202],[0.004277, 0.004277],[0.004018, 0.004018]]"
"88","2024-10-26","[[0.004106, 0.004106],[0.003513, 0.003513],[0.002012, 0.002012],[0.004242, 0.004242],[0.004036, 0.004036]]"
"89","2024-10-27","[[0.004103, 0.004103],[0.003501, 0.003501],[0.002002, 0.002002],[0.004201, 0.004201],[0.004053, 0.004053]]"
"90","2024-10-28","[[0.004098, 0.004098],[0.003488, 0.003488],[0.001992, 0.001992],[0.004157, 0.004157],[0.004068, 0.004068]]"
"91","2024-10-29","[[0.004092, 0.004092],[0.003473, 0.003473],[0.00198, 0.00198],[0.004108, 0.004108],[0.004082, 0.004082]]"
"92","2024-10-30","[[0.004085, 0.004085],[0.003456, 0.003456],[0.001967, 0.001967],[0.004055, 0.004055],[0.004094, 0.004094]]"
"93","2024-10-31","[[0.004075, 0.004075],[0.003438, 0.003438],[0.001953, 0.001953],[0.003998, 0.003998],[0.004104, 0.004104]]"
"94","2024-11-01","[[0.004065, 0.004065],[0.003419, 0.003419],[0.001938, 0.001938],[0.003937, 0.003937],[0.004113, 0.004113]]"
"95","2024-11-02","[[0.004053, 0.004053],[0.003398, 0.003398],[0.001921, 0.001921],[0.003873, 0.003873],[0.00412, 0.00412]]"
"96","2024-11-03","[[0.004039, 0.004039],[0.003376, 0.003376],[0.001904, 0.001904],[0.003806, 0.003806],[0.004125, 0.004125]]"
"97","2024-11-04","[[0.004024, 0.004024],[0.003353, 0.003353],[0.001885, 0.001885],[0.003736, 0.003736],[0.004129, 0.004129]]"
"98","2024-11-05","[[0.004007, 0.004007],[0.003329, 0.003329],[0.001866, 0.001866],[0.003664, 0.003664],[0.004131, 0.004131]]"
"99","2024-11-06","[[0.003989, 0.003989],[0.003303, 0.003303],[0.001845, 0.001845],[0.003589, 0.003589],[0.004132, 0.004132]]"
"100","2024-11-07","[[0.00397, 0.00397],[0.003276, 0.003276],[0.001824, 0.001824],[0.003513, 0.003513],[0.00413, 0.00413]]"
"101","2024-11-08","[[0.003949, 0.003949],[0.003247, 0.003247],[0.001802, 0.001802],[0.003434, 0.003434],[0.004128, 0.004128]]"
"102","2024-11-09","[[0.003927, 0.003927],[0.003218, 0.003218],[0.001779, 0.001779],[0.003354, 0.003354],[0.004123, 0.004123]]"
"103","2024-11-10","[[0.003904, 0.003904],[0.003188, 0.003188],[0.001755, 0.001755],[0.003273, 0.003273],[0.004117, 0.004117]]"
"104","2024-11-11","[[0.00388, 0.00388],[0.003156, 0.003156],[0.001731, 0.001731],[0.003191, 0.003191],[0.004109, 0.004109]]"
"105","2024-11-12","[[0.003854, 0.003854],[0.003124, 0.003124],[0.001706, 0.001706],[0.003108, 0.003108],[0.004099, 0.004099]]"
"106","2024-11-13","[[0.003827, 0.003827],[0.003091, 0.003091],[0.00168, 0.00168],[0.003025, 0.003025],[0.004088, 0.004088]]"
"107","2024-11-14","[[0.003799, 0.003799],[0.003057, 0.003057],[0.001654, 0.001654],[0.002942, 0.002942],[0.004075, 0.004075]]"
"108","2024-11-15","[[0.003769, 0.003769],[0.003022, 0.003022],[0.001627, 0.001627],[0.002858, 0.002858],[0.004061, 0.004061]]"
"109","2024-11-16","[[0.003739, 0.003739],[0.002986, 0.002986],[0.0016, 0.0016],[0.002775, 0.002775],[0.004045, 0.004045]]"
"110","2024-11-17","[[0.003707, 0.003707],[0.00295, 0.00295],[0.001573, 0.001573],[0.002691, 0.002691],[0.004027, 0.004027]]"
"111","2024-11-18","[[0.003675, 0.003675],[0.002913, 0.002913],[0.001545, 0.001545],[0.002609, 0.002609],[0.004008, 0.004008]]"
"112","2024-11-19","[[0.003642, 0.003642],[0.002875, 0.002875],[0.001517, 0.001517],[0.002527, 0.002527],[0.003987, 0.003987]]"
"113","2024-11-20","[[0.003607, 0.003607],[0.002837, 0.002837],[0.001489, 0.001489],[0.002446, 0.002446],[0.003965, 0.003965]]"
"114","2024-11-21","[[0.003572, 0.003572],[0.002798, 0.002798],[0.001461, 0.001461],[0.002366, 0.002366],[0.003942, 0.003942]]"
"115","2024-11-22","[[0.003536, 0.003536],[0.002759, 0.002759],[0.001432, 0.001432],[0.002287, 0.002287],[0.003917, 0.003917]]"
"116","2024-11-23","[[0.003499, 0.003499],[0.002719, 0.002719],[0.001403, 0.001403],[0.002209, 0.002209],[0.003891, 0.003891]]"
"117","2024-11-24","[[0.003462, 0.003462],[0.002679, 0.002679],[0.001375, 0.001375],[0.002133, 0.002133],[0.003864, 0.003864]]"
"118","2024-11-25","[[0.003424, 0.003424],[0.002639, 0.002639],[0.001346, 0.001346],[0.002058, 0.002058],[0.003835, 0.003835]]"
"119","2024-11-26","[[0.003385, 0.003385],[0.002599, 0.002599],[0.001317, 0.001317],[0.001984, 0.001984],[0.003805, 0.003805]]"
"120","2024-11-27","[[0.003345, 0.003345],[0.002558, 0.002558],[0.001288, 0.001288],[0.001912, 0.001912],[0.003774, 0.003774]]"
"121","2024-11-28","[[0.003305, 0.003305],[0.002517, 0.002517],[0.00126, 0.00126],[0.001842, 0.001842],[0.003741, 0.003741]]"
"122","2024-11-29","[[0.003265, 0.003265],[0.002476, 0.002476],[0.001231, 0.001231],[0.001773, 0.001773],[0.003708, 0.003708]]"
"123","2024-11-30","[[0.003224, 0.003224],[0.002434, 0.002434],[0.001203, 0.001203],[0.001707, 0.001707],[0.003674, 0.003674]]"
"124","2024-12-01","[[0.003182, 0.003182],[0.002393, 0.002393],[0.001175, 0.001175],[0.001641, 0.001641],[0.003638, 0.003638]]"
"125","2024-12-02","[[0.00314, 0.00314],[0.002352, 0.002352],[0.001147, 0.001147],[0.001578, 0.001578],[0.003602, 0.003602]]"
"126","2024-12-03","[[0.003098, 0.003098],[0.00231, 0.00231],[0.001119, 0.001119],[0.001516, 0.001516],[0.003565, 0.003565]]"
"127","2024-12-04","[[0.003056, 0.003056],[0.002269, 0.002269],[0.001092, 0.001092],[0.001456, 0.001456],[0.003527, 0.003527]]"
