day,ref_total,generic_total,diff_total,ref_0,generic_0,ref_1-4,generic_1-4,ref_5-12,generic_5-12,ref_13-17,generic_13-17,ref_18-49,generic_18-49,ref_50-64,generic_50-64,ref_65+,generic_65+
41,1.9440382122739566,4.367955583315095,2.4239173710411386,0.01095913231439255,0.025276588466646634,0.0695576377064545,0.15868444817159416,0.07705263029099109,0.174333925402563,0.037476001116201266,0.08477954399364437,0.22256124665188162,0.506437618302232,0.22239579252002853,0.5065110600270956,1.304035771674007,2.9119323989513193
42,2.000534154602434,4.629830711486556,2.629296556884122,0.011719174432564533,0.02749181133977706,0.06982342755524167,0.16535544444342842,0.07285296539635847,0.17455936644099057,0.03536849196084583,0.08479056020221738,0.2220246564886411,0.5260431730059002,0.22490156987261148,0.5309284651117643,1.3638438688961712,3.120661890942478
43,2.0343137605464126,4.835813938330959,2.801500177784546,0.012517258695251778,0.02984043555079933,0.0686418412549127,0.16826491115290634,0.06531827687639764,0.1658963587172751,0.03160571629962401,0.08039318207423927,0.21641195718482614,0.5322522938840407,0.22340873115380094,0.5450027029238169,1.4164099790815996,3.314164054027881
44,2.1491781159673917,5.195150925794824,3.045972809827432,0.013128019773403969,0.03205627474128846,0.07284303171850937,0.18068140208765993,0.07074477837965215,0.1789504771350518,0.03428526857151583,0.08678489488799693,0.23069715610328143,0.5729807828701147,0.2371706604626539,0.5861352867217371,1.490309200958375,3.557561807350975
45,2.2441384845383805,5.559027161905362,3.314888677366982,0.013404155456961858,0.03382315425347286,0.07672045821384199,0.19443074052200585,0.07750062875244956,0.1977224955655552,0.037643570461428986,0.09604612273148826,0.2457355656554896,0.6213605733582028,0.2505236240291087,0.6320184014480226,1.5426104819690998,3.7836256740266148
46,2.3442945155904225,5.944396233325501,3.600101717735079,0.013675950829983357,0.03553059094048368,0.08083414878251997,0.2093025161015489,0.08484667968334969,0.21940278403036503,0.04130100384222588,0.10676839024860386,0.2619216881588397,0.6750540350605247,0.2647968423451924,0.6820597951747365,1.5969182019483112,4.016278121769239
47,2.477538727250272,6.4056201610663654,3.9280814338160934,0.014170028906073136,0.03763604639866281,0.08612024655950208,0.2270035386832685,0.0934654673341796,0.24493554640377585,0.04558978311730132,0.11940575103821915,0.28171609240810225,0.7385663639628681,0.2826990305892529,0.7414143818282364,1.6737780783358607,4.2966585327513345
48,2.6105991009391234,6.888139398518219,4.277540297579096,0.014722942398164554,0.03991348643827797,0.09138758579802064,0.24551001173377027,0.10187078768040604,0.2715312165198514,0.04978198939916098,0.13259128268149917,0.3009822973560298,0.8045650954573731,0.3002138591064023,0.8031425014673289,1.751639639200939,4.590885804220118
49,2.622621537869727,7.139453718150868,4.516832180281141,0.015321903999557806,0.04234723266147318,0.08957968862724797,0.25010754939932794,0.09452833398605968,0.26684564468417815,0.04612303955940732,0.13019339402931404,0.2939222061330104,0.8190065345106421,0.296884179772878,0.824341463246582,1.786262185791566,4.806611899619351
50,2.5882325644756428,7.269524786899788,4.681292222424145,0.01581656311818354,0.04464717754806832,0.08561893376885807,0.24840662604420768,0.08312366112184642,0.24928004389332004,0.0404388801805014,0.12138034960814889,0.27905989438934636,0.8104420867467642,0.2868283882522739,0.8264894538234272,1.7973462436446332,4.968879049235851
